Year,Month,Season,District,Best_Crop_To_Plant,Type_of_Crop,Soil_Type,Soil_PH_Low,Soil_PH_High,Crop_Duration_Min_Days,Crop_Duration_Max_Days,Rainfall_mm,Max_Temp_C,Min_Temp_C,Water_Required_Min_mm,Water_Required_Max_mm
2023,Jun,Kuruvai/Sornavari,THIRUNELVELI,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,6.5,8.0,300.0,330.0,1431.54,26.21,22.22,1500.0,2500.0
2023,Mar,Navarai/Kodai,KARUR,Lettuce,minor vegetables,Sandy loam,6.0,6.5,45.0,55.0,388.58,24.44,16.63,900.0,1200.0
2025,Jun,Kuruvai/Sornavari,KRISHNAGIRI,carrot,Root&tuber,light or sandy loam soil,6.0,7.0,75.0,75.0,315.07,23.49,18.03,1000.0,1000.0
2025,Nov,Samba/Thaladi,NAMAKAL,annual moringa,vegetables,Sandy loam,6.5,8.0,210.0,240.0,340.21,34.23,25.12,900.0,1200.0
2023,Nov,Samba/Thaladi,CHENGLEPUT,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.0,8.2,100.0,120.0,175.77,25.74,12.77,700.0,1200.0
2022,Apr,Navarai/Kodai,THE NILGRIS,brinjal,vegetables,Loamy soil/ Lateritic soil,6.0,7.5,100.0,150.0,277.13,29.7,22.93,900.0,1200.0
2023,Sep,Kuruvai/Sornavari,THENI,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.0,8.2,100.0,120.0,656.83,28.47,14.66,700.0,1200.0
2025,Jun,Kuruvai/Sornavari,VELLORE,cowpea,pulses, well-drained sandy loams or sandy soils ,5.0,6.5,60.0,90.0,388.71,31.27,22.67,400.0,700.0
2022,May,Navarai/Kodai,PUDUKKOTTAI,Cabbage,colecrops,LoamySandy,6.0,6.5,80.0,180.0,189.05,28.55,11.39,380.0,500.0
2024,Jun,Kuruvai/Sornavari,MADURAI,small onion,bulbvegetables,Sandy loam,6.0,7.0,70.0,90.0,380.81,26.85,17.53,650.0,750.0
2021,Jun,Kuruvai/Sornavari,THIRUNELVELI,soundal,forage crops,Well drained sandy loam and clayey loam soils ,5.5,7.5,40.0,80.0,192.85,31.31,20.42,500.0,480.0
2021,Jul,Kuruvai/Sornavari,CUDDALORE,ribbed gourd,vegetables,Sandy Loam,6.5,7.5,125.0,125.0,615.81,35.04,27.3,900.0,1200.0
2022,Oct,Samba/Thaladi,PERAMBALUR,vegetable cowpea,vegetables,Sandy loam,5.6,6.0,45.0,90.0,352.88,27.49,19.69,900.0,1200.0
2021,Dec,Samba/Thaladi,THALAVADI HILLS,greengram,pulses,well-drained sandy loams or sandy soils ,6.5,7.5,100.0,100.0,240.04,35.07,26.77,850.0,1000.0
2024,Aug,Kuruvai/Sornavari,DHARMAPURI,fodder maize,forage crops,Well drained sandy loam and clayey loam soils ,5.5,8.0,60.0,70.0,208.86,41.87,10.55,500.0,480.0
2025,Apr,Navarai/Kodai,DHARMAPURI,Pearl millet,millets,"clay, clay loam, or sandy loam soils",5.5,7.5,75.0,85.0,235.2,44.91,16.19,350.0,500.0
2021,May,Navarai/Kodai,SIVAGANGAI,sorghum,millets,well-drained loamy soils,6.0,7.5,95.0,105.0,375.86,38.44,18.06,450.0,650.0
2024,Jan,Navarai/Kodai,SALEM,celery,greenleafy,Silt Loam to loamy,6.0,8.5,120.0,150.0,465.52,28.63,10.94,1000.0,1000.0
2025,Nov,Samba/Thaladi,ERODE,dioscorea,Root&tuber,well-drained soil,6.0,6.5,270.0,300.0,499.23,31.44,30.0,1000.0,2000.0
2025,Jun,Kuruvai/Sornavari,MADURAI,guinea grass,forage crops,Well drained sandy loam and clayey loam soils ,5.0,7.0,45.0,55.0,303.45,36.17,16.62,1000.0,480.0
2025,Jun,Kuruvai/Sornavari,KRISHNAGIRI,thinai,millets,"alluvial,loamy ",5.5,7.0,85.0,90.0,140.97,25.39,21.41,500.0,900.0
2025,Apr,Navarai/Kodai,DINDIGUL,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.0,8.0,135.0,140.0,461.44,30.78,25.08,700.0,1300.0
2025,Nov,Samba/Thaladi,COIMBATORE,soundal,forage crops,Well drained sandy loam and clayey loam soils ,5.5,7.5,40.0,80.0,287.21,33.2,21.62,500.0,480.0
2024,Dec,Samba/Thaladi,THIRUPPUR,elephant foot yam,Root&tuber,Rich red loamy soil,5.5,7.0,240.0,240.0,260.56,30.57,27.68,1000.0,1500.0
2022,Jun,Kuruvai/Sornavari,THE NILGRIS,ash gourd,vegetables,Sandy loam,6.0,6.7,120.0,120.0,414.33,32.46,25.96,900.0,1200.0
2021,Sep,Kuruvai/Sornavari,KANCHEEPURAM,velimasal,forage crops,Well drained sandy loam and clayey loam soils ,5.8,7.0,45.0,55.0,164.55,34.87,25.93,300.0,350.0
2024,May,Navarai/Kodai,ERODE,cucumber,vegetables,Loamy,6.5,7.5,120.0,120.0,425.52,31.63,28.64,1200.0,1500.0
2025,Oct,Samba/Thaladi,KARUR,kudiraivali,millets,Loamy Soil,5.5,7.0,75.0,95.0,406.68,22.28,18.93,500.0,900.0
2025,Aug,Kuruvai/Sornavari,THALAVADI HILLS,swordbean,pulses, well-drained sandy loams or sandy soils ,5.0,6.0,110.0,120.0,556.82,34.76,11.29,900.0,1500.0
2024,Mar,Navarai/Kodai,THIRUCHIRAPALLI,chillies,vegetables,Loamy soil/ Lateritic soil,6.0,6.8,120.0,120.0,296.61,31.31,21.89,500.0,500.0
2023,Nov,Samba/Thaladi,THIRUVALLUR,chillies,vegetables,Loamy soil/ Lateritic soil,6.0,6.8,120.0,120.0,271.9,26.62,21.33,500.0,500.0
2022,May,Navarai/Kodai,PUDUKKOTTAI,chillies,vegetables,Loamy soil/ Lateritic soil,6.0,6.8,120.0,120.0,188.29,29.2,25.98,500.0,500.0
2021,Dec,Samba/Thaladi,VILLUPURAM,peas,vegetables,Sandy loam,6.5,7.5,60.0,70.0,373.38,27.08,12.8,900.0,1200.0
2024,Jan,Navarai/Kodai,THOOTHUKUDI,ribbed gourd,vegetables,Sandy Loam,6.5,7.5,125.0,125.0,522.63,33.1,26.89,900.0,1200.0
2025,Nov,Samba/Thaladi,KANCHEEPURAM,gardenlablab,pulses,wide range of soils,6.0,7.0,75.0,100.0,557.65,34.41,22.01,650.0,1000.0
2022,Dec,Samba/Thaladi,KANYAKUMARI,Winged Bean,minor vegetables,Sandy loam,7.0,12.0,42.0,42.0,342.15,25.62,24.6,900.0,1200.0
2021,Sep,Kuruvai/Sornavari,THENI,samai,millets,Loamy Soil,8.5,9.0,80.0,100.0,354.52,37.57,26.06,480.0,750.0
2025,Aug,Kuruvai/Sornavari,THIRUVALLUR,Phaseolus lunatus,minor vegetables,Sandy loam,6.0,6.8,90.0,90.0,289.83,27.86,16.17,900.0,2000.0
2024,Jan,Navarai/Kodai,VILLUPURAM,chinese potato,Root&tuber,well-drained soil,4.8,5.8,120.0,150.0,260.43,22.83,19.37,1000.0,1000.0
2021,Mar,Navarai/Kodai,VILLUPURAM,celery,greenleafy,Silt Loam to loamy,6.0,8.5,120.0,150.0,343.39,26.83,10.88,1000.0,1000.0
2025,Sep,Kuruvai/Sornavari,COIMBATORE,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.5,8.0,85.0,90.0,130.28,30.88,25.03,350.0,400.0
2021,Feb,Navarai/Kodai,RAMANATHANPURAM,Chekurmanis,minor vegetables,Sandy loam,5.5,7.5,90.0,120.0,394.98,35.8,26.79,900.0,1200.0
2022,Nov,Samba/Thaladi,COIMBATORE,swordbean,pulses, well-drained sandy loams or sandy soils ,5.0,6.0,110.0,120.0,463.04,35.37,14.47,900.0,1500.0
2025,Nov,Samba/Thaladi,VELLORE,Winged Bean,minor vegetables,Sandy loam,7.0,12.0,42.0,42.0,662.75,26.16,27.15,900.0,1200.0
2025,Feb,Navarai/Kodai,KANYAKUMARI,fodder cumbu,forage crops,Well drained sandy loam and clayey loam soils ,4.0,7.5,45.0,120.0,218.01,35.01,27.69,500.0,480.0
2022,Feb,Navarai/Kodai,COIMBATORE,elephant foot yam,Root&tuber,Rich red loamy soil,5.5,7.0,240.0,240.0,676.8,33.08,29.89,1000.0,1500.0
2022,Apr,Navarai/Kodai,THENI,bitter gourd,vegetables,Well drained loamy soil,6.5,7.0,55.0,60.0,565.68,29.18,25.01,900.0,1200.0
2024,Aug,Kuruvai/Sornavari,ERODE,Phaseolus lunatus,minor vegetables,Sandy loam,6.0,6.8,90.0,90.0,487.47,25.39,20.83,900.0,2000.0
2025,Jul,Kuruvai/Sornavari,COIMBATORE,celery,greenleafy,Silt Loam to loamy,6.0,8.5,120.0,150.0,394.09,29.1,16.54,1000.0,1000.0
2022,Aug,Kuruvai/Sornavari,THENI,tinda,vegetables,Sandy loam,6.5,7.5,70.0,70.0,406.17,29.03,27.16,900.0,1200.0
2021,Mar,Navarai/Kodai,CUDDALORE,Butter bean,minor vegetables,Sandy loam,6.0,7.0,80.0,100.0,455.42,25.16,17.41,900.0,1200.0
2023,Oct,Samba/Thaladi,HILLY REGIONS OF SHEVROY,Coccinia,minor vegetables,Sandy loam,6.0,6.5,90.0,90.0,767.87,31.75,23.74,900.0,1200.0
2025,Oct,Samba/Thaladi,CAUVERY,chinese potato,Root&tuber,well-drained soil,4.8,5.8,120.0,150.0,554.8,22.14,14.96,1000.0,1000.0
2023,Oct,Samba/Thaladi,COIMBATORE,kudirai masi,forage crops,Well drained sandy loam and clayey loam soils ,6.5,7.5,45.0,55.0,120.53,30.85,25.98,300.0,350.0
2022,Dec,Samba/Thaladi,COIMBATORE,soundal,forage crops,Well drained sandy loam and clayey loam soils ,5.5,7.5,40.0,80.0,268.76,33.45,19.44,500.0,480.0
2024,Nov,Samba/Thaladi,VELLORE,onion,vegetables, Any Loamy,5.8,6.5,100.0,120.0,314.75,25.36,21.59,350.0,550.0
2022,May,Navarai/Kodai,KRISHNAGIRI,redgram,pulses,deep loam soils,6.5,7.0,120.0,150.0,707.84,25.83,16.0,600.0,1400.0
2022,Aug,Kuruvai/Sornavari,KANYAKUMARI,radish,Root&tuber,Well grained deep loamy moist and alluviual soil,5.5,6.8,21.0,21.0,653.85,22.08,10.21,1000.0,1000.0
2021,Apr,Navarai/Kodai,THE NILGRIS,kollukattai pullu,forage crops,Well drained sandy loam and clayey loam soils ,7.0,7.5,45.0,55.0,290.9,27.49,23.83,500.0,480.0
2021,Jul,Kuruvai/Sornavari,PERAMBALUR,guinea grass,forage crops,Well drained sandy loam and clayey loam soils ,5.0,7.0,45.0,55.0,319.37,34.57,15.38,1000.0,480.0
2025,Jan,Navarai/Kodai,ARIYALUR,Chakravathi keerai,minor vegetables,Sandy loam,4.5,8.3,100.0,100.0,705.7,25.12,14.86,900.0,1200.0
2021,Jul,Kuruvai/Sornavari,CUDDALORE,watermelon,vegetables,Sandy,6.0,7.5,70.0,85.0,559.24,28.46,25.01,900.0,1200.0
2024,Nov,Samba/Thaladi,KANCHEEPURAM,Asparagus,minor vegetables,Sandy loam,6.0,6.7,730.0,730.0,566.17,30.13,13.44,900.0,1200.0
2021,Jul,Kuruvai/Sornavari,VELLORE,capsicum,vegetables,Loamy soil/ Lateritic soil,5.5,7.0,60.0,60.0,259.56,28.27,14.59,500.0,1200.0
2023,Sep,Kuruvai/Sornavari,NAGAPATTINAM,cotton,fibre crop," black soils, (ii) red soils and (iii) alluvial soils.",7.0,8.0,135.0,140.0,758.55,26.79,21.55,700.0,1300.0
2023,Nov,Samba/Thaladi,ERODE,Lettuce,minor vegetables,Sandy loam,6.0,6.5,45.0,55.0,734.85,24.29,17.69,900.0,1200.0
2023,Jul,Kuruvai/Sornavari,MADURAI,swordbean,pulses, well-drained sandy loams or sandy soils ,5.0,6.0,110.0,120.0,456.16,32.74,16.59,900.0,1500.0
2023,Jul,Kuruvai/Sornavari,KANCHEEPURAM,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.5,8.0,85.0,90.0,262.63,32.84,24.18,350.0,400.0
2025,Jan,Navarai/Kodai,THIRUVALLUR,sugarcane,sugar crops,Clayey Loamy Soil/ Black Cotton Soil/ Red Loamy Soil/ Brown Loamy Soil,6.5,8.0,300.0,330.0,553.62,26.25,23.12,1500.0,2500.0
2025,May,Navarai/Kodai,PERAMBALUR,dioscorea,Root&tuber,well-drained soil,6.0,6.5,270.0,300.0,291.88,31.33,30.0,1000.0,2000.0
2023,Oct,Samba/Thaladi,PUDUKKOTTAI,bitter gourd,vegetables,Well drained loamy soil,6.5,7.0,55.0,60.0,343.02,29.66,26.83,900.0,1200.0
2022,Jan,Navarai/Kodai,THIRUCHIRAPALLI,tobacco,other crops,Well drained sandy loam and clayey loam soils ,7.5,8.5,90.0,100.0,605.51,30.42,28.27,800.0,1000.0
2022,May,Navarai/Kodai,ARIYALUR,cluster bean,vegetables,Sandy Loam,7.0,8.5,60.0,90.0,761.32,25.61,22.92,900.0,1200.0
2024,Jun,Kuruvai/Sornavari,RAMANATHANPURAM,paprika,vegetables,Sandy loam,5.8,6.5,160.0,180.0,295.0,27.04,22.3,700.0,1000.0
2025,Dec,Samba/Thaladi,JAWAD HILLS,muyal masal,forage crops,Well drained sandy loam and clayey loam soils ,5.5,7.5,75.0,65.0,167.4,34.5,24.93,500.0,480.0
2022,Jan,Navarai/Kodai,KARUR,sorghum,millets,well-drained loamy soils,6.0,7.5,95.0,105.0,263.8,40.32,17.17,450.0,650.0
2021,Jun,Kuruvai/Sornavari,SALEM,muyal masal,forage crops,Well drained sandy loam and clayey loam soils ,5.5,7.5,75.0,65.0,176.65,31.15,25.46,500.0,480.0
2024,Nov,Samba/Thaladi,JAWAD HILLS,redgram,pulses,deep loam soils,6.5,7.0,120.0,150.0,605.69,28.34,20.21,600.0,1400.0
2022,May,Navarai/Kodai,PERAMBALUR,chowchow,vegetables,Loamy soil/ Lateritic soil,5.5,6.5,150.0,150.0,418.63,24.04,22.21,1200.0,1500.0
2021,May,Navarai/Kodai,THOOTHUKUDI,small onion,bulbvegetables,Sandy loam,6.0,7.0,70.0,90.0,302.27,26.39,16.8,650.0,750.0
2024,Dec,Samba/Thaladi,KANYAKUMARI,muskmelon,vegetables,Sandy Loam,6.5,7.5,70.0,100.0,395.61,32.12,28.48,900.0,1200.0
2021,Mar,Navarai/Kodai,NAMAKAL,capsicum,vegetables,Loamy soil/ Lateritic soil,5.5,7.0,60.0,60.0,632.92,25.12,14.35,500.0,1200.0
2021,May,Navarai/Kodai,KOLLI HILLS,ragi,millets,"red, black, sandy, loamy and shallow black soils.",5.0,8.2,100.0,120.0,213.45,28.58,15.95,700.0,1200.0
2022,Jun,Kuruvai/Sornavari,JAWAD HILLS,sweet sorghum,sugar crops,Well drained sandy loam and clayey loam soils ,6.0,8.5,115.0,125.0,154.23,25.03,29.62,500.0,600.0
2025,Dec,Samba/Thaladi,ARIYALUR,radish,Root&tuber,Well grained deep loamy moist and alluviual soil,5.5,6.8,21.0,21.0,641.43,24.4,14.35,1000.0,1000.0
2023,Sep,Kuruvai/Sornavari,TANJORE,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.5,7.0,140.0,150.0,329.79,44.19,11.81,500.0,700.0
2021,Nov,Samba/Thaladi,DINDIGUL,wheat,cereals,Well Drained,6.0,7.0,80.0,90.0,412.85,25.17,22.9,450.0,650.0
2022,Jan,Navarai/Kodai,KRISHNAGIRI,french bean,vegetables,Well drained loamy soil,5.5,6.0,40.0,50.0,303.42,28.55,10.25,900.0,1200.0
2024,Oct,Samba/Thaladi,KRISHNAGIRI,groundnut,oil seeds,Well-drained sandy loam or sandy clay loam soil ,6.5,7.0,140.0,150.0,328.78,42.66,10.68,500.0,700.0
2024,Aug,Kuruvai/Sornavari,ARIYALUR,paprika,vegetables,Sandy loam,5.8,6.5,160.0,180.0,601.59,31.08,28.55,700.0,1000.0
2022,Sep,Kuruvai/Sornavari,THOOTHUKUDI,bottle gourd,vegetables,Sandy loam,6.0,6.7,120.0,120.0,495.69,26.11,19.33,900.0,1200.0
2024,Oct,Samba/Thaladi,PUDUKKOTTAI,Coccinia,minor vegetables,Sandy loam,6.0,6.5,90.0,90.0,785.12,33.72,22.81,900.0,1200.0
2023,Aug,Kuruvai/Sornavari,DINDIGUL,gherkins,vegetables,Sandy loam,5.8,7.0,90.0,90.0,370.5,36.68,14.61,900.0,1200.0
2022,Sep,Kuruvai/Sornavari,MADURAI,sunflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",6.5,8.0,85.0,95.0,152.01,25.88,23.91,350.0,500.0
2025,Apr,Navarai/Kodai,ERODE,cowpea,pulses, well-drained sandy loams or sandy soils ,5.0,6.5,60.0,90.0,437.61,25.48,20.6,400.0,700.0
2022,Jun,Kuruvai/Sornavari,KARUR,watermelon,vegetables,Sandy,6.0,7.5,70.0,85.0,270.3,27.92,23.49,900.0,1200.0
2022,May,Navarai/Kodai,THALAVADI HILLS,niger,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.2,7.3,80.0,80.0,432.86,25.0,14.49,1000.0,1300.0
2021,Nov,Samba/Thaladi,THIRUNELVELI,guinea grass,forage crops,Well drained sandy loam and clayey loam soils ,5.0,7.0,45.0,55.0,297.85,37.82,16.97,1000.0,480.0
2023,Dec,Samba/Thaladi,NAMAKAL,annual moringa,vegetables,Sandy loam,6.5,8.0,210.0,240.0,396.07,33.9,26.96,900.0,1200.0
2025,Nov,Samba/Thaladi,THIRUVANNAMALAI,sorghum,millets,well-drained loamy soils,6.0,7.5,95.0,105.0,390.66,41.85,18.88,450.0,650.0
2023,Sep,Kuruvai/Sornavari,ERODE,wheat,cereals,Well Drained,6.0,7.0,80.0,90.0,357.41,25.18,19.12,450.0,650.0
2025,Apr,Navarai/Kodai,NAMAKAL,chowchow,vegetables,Loamy soil/ Lateritic soil,5.5,6.5,150.0,150.0,623.77,24.52,16.3,1200.0,1500.0
2025,Oct,Samba/Thaladi,THALAVADI HILLS,cumbu napier hybrid,forage crops,Well drained sandy loam and clayey loam soils ,5.0,8.6,45.0,55.0,291.82,25.48,22.71,800.0,1000.0
2021,May,Navarai/Kodai,TANJORE,Lettuce,minor vegetables,Sandy loam,6.0,6.5,45.0,55.0,431.52,24.6,22.42,900.0,1200.0
2023,Jun,Kuruvai/Sornavari,THIRUNELVELI,Chekurmanis,minor vegetables,Sandy loam,5.5,7.5,90.0,120.0,304.44,32.59,24.48,900.0,1200.0
2022,Oct,Samba/Thaladi,MADURAI,cucumber,vegetables,Loamy,6.5,7.5,120.0,120.0,753.9,32.19,26.99,1200.0,1500.0
2024,Aug,Kuruvai/Sornavari,THE NILGRIS,Mint,minor vegetables,Loamy soil,6.5,7.0,100.0,120.0,276.07,25.95,22.71,1000.0,1100.0
2024,Nov,Samba/Thaladi,ERODE,fodder cowpea,forage crops,Well drained sandy loam and clayey loam soils ,5.0,6.5,50.0,65.0,140.63,27.37,18.89,300.0,350.0
2023,Oct,Samba/Thaladi,KANCHEEPURAM,chowchow,vegetables,Loamy soil/ Lateritic soil,5.5,6.5,150.0,150.0,564.85,24.82,16.44,1200.0,1500.0
2024,Jun,Kuruvai/Sornavari,THOOTHUKUDI,bengalgram,pulses,medium to heavy black soil,5.5,7.0,90.0,120.0,555.74,25.58,19.78,650.0,1000.0
2021,Aug,Kuruvai/Sornavari,COIMBATORE,kudirai masi,forage crops,Well drained sandy loam and clayey loam soils ,6.5,7.5,45.0,55.0,139.56,36.49,27.12,300.0,350.0
2021,Jan,Navarai/Kodai,PUDUKKOTTAI,Knol-khol,minor vegetables,Sandy loam,5.5,7.0,50.0,65.0,566.22,27.72,16.93,900.0,1200.0
2023,Oct,Samba/Thaladi,KOLLI HILLS,french bean,vegetables,Well drained loamy soil,5.5,6.0,40.0,50.0,701.86,27.32,13.47,900.0,1200.0
2022,Jan,Navarai/Kodai,THENI,kollukattai pullu,forage crops,Well drained sandy loam and clayey loam soils ,7.0,7.5,45.0,55.0,270.73,29.68,18.5,500.0,480.0
2021,May,Navarai/Kodai,DINDIGUL,safflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.4,8.2,120.0,125.0,374.04,31.56,23.82,550.0,725.0
2025,Oct,Samba/Thaladi,JAWAD HILLS,fieldlablab,pulses,Well drained loamy soil,6.2,7.0,105.0,105.0,443.21,27.57,16.61,650.0,1000.0
2021,Jul,Kuruvai/Sornavari,THIRUPPUR,elephant foot yam,Root&tuber,Rich red loamy soil,5.5,7.0,240.0,240.0,481.98,36.27,25.39,1000.0,1500.0
2021,Jun,Kuruvai/Sornavari,THIRUNELVELI,Knol-khol,minor vegetables,Sandy loam,5.5,7.0,50.0,65.0,294.23,32.58,15.99,900.0,1200.0
2021,Aug,Kuruvai/Sornavari,ARIYALUR,cauliflower,colecrops,LoamySandy,6.5,6.8,55.0,100.0,322.72,28.41,10.0,380.0,500.0
2023,Sep,Kuruvai/Sornavari,CUDDALORE,safflower,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.4,8.2,120.0,125.0,390.61,33.12,24.96,550.0,725.0
2021,Feb,Navarai/Kodai,KARUR,gherkins,vegetables,Sandy loam,5.8,7.0,90.0,90.0,236.06,32.94,18.83,900.0,1200.0
2023,Mar,Navarai/Kodai,THIRUVANNAMALAI,Rhubarb,minor vegetables,Sandy loam,6.0,6.8,56.0,70.0,485.55,25.57,10.0,900.0,1200.0
2022,Jun,Kuruvai/Sornavari,SIVAGANGAI,Chinese cabbage,minor vegetables,Sandy loam,5.5,7.0,50.0,80.0,300.69,24.87,19.61,900.0,1200.0
2025,Apr,Navarai/Kodai,THENI,panivaragu,millets,sandy loam to clays of black cotton soils,5.5,7.0,70.0,75.0,110.44,41.48,13.97,330.0,350.0
2023,Feb,Navarai/Kodai,PUDUKKOTTAI,gingely,oil seeds,"Loams, silt loams, clay loams, or silty clay loams",5.5,8.0,85.0,90.0,199.52,32.43,28.56,350.0,400.0
2022,Mar,Navarai/Kodai,TANJORE,fodder cholam,forage crops,Well drained sandy loam and clayey loam soils ,5.5,7.5,1095.0,1095.0,153.02,30.55,23.74,300.0,350.0
2025,Aug,Kuruvai/Sornavari,THE NILGRIS,brinjal,vegetables,Loamy soil/ Lateritic soil,6.0,7.5,100.0,150.0,719.03,27.19,17.25,900.0,1200.0
2024,Oct,Samba/Thaladi,DINDIGUL,Mint,minor vegetables,Loamy soil,6.5,7.0,100.0,120.0,472.18,25.44,22.97,1000.0,1100.0
2022,Sep,Kuruvai/Sornavari,THIRUVALLUR,elephant foot yam,Root&tuber,Rich red loamy soil,5.5,7.0,240.0,240.0,798.0,33.25,24.15,1000.0,1500.0
2022,Jan,Navarai/Kodai,KANYAKUMARI,fodder cumbu,forage crops,Well drained sandy loam and clayey loam soils ,4.0,7.5,45.0,120.0,188.3,35.24,28.49,500.0,480.0
2022,Nov,Samba/Thaladi,KOLLI HILLS,muskmelon,vegetables,Sandy Loam,6.5,7.5,70.0,100.0,641.65,30.15,29.66,900.0,1200.0
2024,Jul,Kuruvai/Sornavari,KARUR,Knol-khol,minor vegetables,Sandy loam,5.5,7.0,50.0,65.0,670.13,30.79,19.68,900.0,1200.0
2022,Nov,Samba/Thaladi,PERAMBALUR,jute,fibre crop,Sandy and Clay Loam,6.0,7.5,120.0,140.0,275.33,37.31,24.84,1000.0,1300.0
2025,Jun,Kuruvai/Sornavari,COIMBATORE,kudirai masi,forage crops,Well drained sandy loam and clayey loam soils ,6.5,7.5,45.0,55.0,180.55,33.65,24.09,300.0,350.0
2022,Mar,Navarai/Kodai,KANCHEEPURAM,horsegram,pulses, light to heavy soils ,6.0,7.5,100.0,105.0,308.12,39.99,27.88,800.0,800.0
2021,Dec,Samba/Thaladi,THENI,Celery,minor vegetables,Sandy loam,5.8,6.8,120.0,150.0,746.73,22.48,14.78,900.0,1200.0
2021,Dec,Samba/Thaladi,VILLUPURAM,Knol-khol,minor vegetables,Sandy loam,5.5,7.0,50.0,65.0,790.95,30.06,14.65,900.0,1200.0
2025,Oct,Samba/Thaladi,TANJORE,Cabbage,colecrops,LoamySandy,6.0,6.5,80.0,180.0,248.69,27.37,11.51,380.0,500.0
2025,Apr,Navarai/Kodai,CUDDALORE,kollukattai pullu,forage crops,Well drained sandy loam and clayey loam soils ,7.0,7.5,45.0,55.0,153.28,28.77,20.17,500.0,480.0
2023,Aug,Kuruvai/Sornavari,THIRUVALLUR,fieldlablab,pulses,Well drained loamy soil,6.2,7.0,105.0,105.0,382.01,25.9,18.43,650.0,1000.0
2024,Sep,Kuruvai/Sornavari,CUDDALORE,Chekurmanis,minor vegetables,Sandy loam,5.5,7.5,90.0,120.0,767.15,35.48,29.01,900.0,1200.0
2024,Jan,Navarai/Kodai,KANCHEEPURAM,Winged Bean,minor vegetables,Sandy loam,7.0,12.0,42.0,42.0,276.13,28.52,29.77,900.0,1200.0
2025,Nov,Samba/Thaladi,THIRUCHIRAPALLI,french bean,vegetables,Well drained loamy soil,5.5,6.0,40.0,50.0,768.08,27.66,11.86,900.0,1200.0
2023,Oct,Samba/Thaladi,NAMAKAL,kudiraivali,millets,Loamy Soil,5.5,7.0,75.0,95.0,301.31,24.04,22.08,500.0,900.0
2022,Feb,Navarai/Kodai,VILLUPURAM,cauliflower,colecrops,LoamySandy,6.5,6.8,55.0,100.0,173.52,29.68,10.0,380.0,500.0
2022,Jul,Kuruvai/Sornavari,THIRUNELVELI,thinai,millets,"alluvial,loamy ",5.5,7.0,85.0,90.0,469.84,25.99,18.92,500.0,900.0
2024,Feb,Navarai/Kodai,ERODE,fieldlablab,pulses,Well drained loamy soil,6.2,7.0,105.0,105.0,579.25,26.54,16.14,650.0,1000.0
2025,Aug,Kuruvai/Sornavari,THOOTHUKUDI,panivaragu,millets,sandy loam to clays of black cotton soils,5.5,7.0,70.0,75.0,144.5,41.06,13.05,330.0,350.0
2023,Aug,Kuruvai/Sornavari,THIRUCHIRAPALLI,tobacco,other crops,Well drained sandy loam and clayey loam soils ,7.5,8.5,90.0,100.0,281.47,28.38,29.46,800.0,1000.0
2025,Aug,Kuruvai/Sornavari,KARUR,Basella,minor vegetables,Sandy loam,5.5,8.0,70.0,70.0,336.39,30.48,14.64,900.0,1200.0
2021,Jan,Navarai/Kodai,KARUR,greengram,pulses,well-drained sandy loams or sandy soils ,6.5,7.5,100.0,100.0,506.1,30.01,25.1,850.0,1000.0
2023,Apr,Navarai/Kodai,THIRUVALLUR,guinea grass,forage crops,Well drained sandy loam and clayey loam soils ,5.0,7.0,45.0,55.0,252.43,36.33,19.31,1000.0,480.0
2022,Nov,Samba/Thaladi,ERODE,ash gourd,vegetables,Sandy loam,6.0,6.7,120.0,120.0,720.87,30.72,24.83,900.0,1200.0
2024,Feb,Navarai/Kodai,THIRUCHIRAPALLI,greengram,pulses,well-drained sandy loams or sandy soils ,6.5,7.5,100.0,100.0,442.29,36.43,23.71,850.0,1000.0
2025,Apr,Navarai/Kodai,THIRUPPUR,fodder cumbu,forage crops,Well drained sandy loam and clayey loam soils ,4.0,7.5,45.0,120.0,250.35,32.5,24.94,500.0,480.0
2022,Apr,Navarai/Kodai,ERODE,cumbu napier hybrid,forage crops,Well drained sandy loam and clayey loam soils ,5.0,8.6,45.0,55.0,306.6,26.68,22.58,800.0,1000.0
2022,Oct,Samba/Thaladi,THENI,horsegram,pulses, light to heavy soils ,6.0,7.5,100.0,105.0,430.14,40.58,28.07,800.0,800.0
2021,Nov,Samba/Thaladi,THIRUNELVELI,Asparagus,minor vegetables,Sandy loam,6.0,6.7,730.0,730.0,485.61,31.34,17.25,900.0,1200.0
